-5,519993;-7,357794;-4,071201;-2,120082
-4,840477;-5,864704;-2,980094;-6,488354
-3,722399;-5,057224;-10,56718;-6,722314
-8,750813;-13,15813;-13,03264;-4,325138
-17,96513;-15,15502;-12,13403;-13,02599
-19,49355;-17,72093;-14,72357;-18,597
-17,00123;-13,84917;-19,55557;-16,81233
-13,9342;-19,05096;-20,84422;-14,34735
-18,57023;-17,09835;-15,09493;-14,82914
-18,27765;-11,7034;-13,2157;-17,59342
-15,9457;-12,39282;-16,93932;-18,27842
-14,5429;-17,7042;-15,79783;-14,36099
-2;-4,34551;0;0
-2;0;0;0
0;0;0;0
0;0;-4,395963;0
-13,25933;-8,751292;-4,396496;-100,0389
-6,222681;-4,125962;-2,80481;-100,0253
-5,274763;-3,851745;-11,4793;-102,1272
-4,675623;-14,65259;-15,33433;-99,99249
-20,82714;-16,65987;-13,20048;-99,87621
-11,43135;-11,81432;-9,745086;-74,91814
-12,49879;-12,39157;-14,77079;-69,31765
-18,86409;-21,03737;-22,52559;-99,98671
-21,92402;-20,24959;-16,80277;-73,7856
-1,992758;-1,90755;-2,215644;-20
-3,435198;-2,624217;-3,956463;-20
-17,78729;-21,60571;-21,85859;-96,48157
-5,245606;-4,409741;0;0
0;0;0;0
0;0;0;0
0;-2,677542;0;0
-11,77378;-9,97254;-101,1749;-5,614046
-11,24826;-8,768863;-100,7558;-12,10647
-5,193348;-3,546185;-101,2967;-6,345822
-4,250995;-8,912601;-20,15829;-4,406638
-17,19228;-21,6494;-95,43008;-19,49628
-19,53954;-19,35339;-99,99886;-21,76614
-9,653108;-5,735987;-73,7856;-9,67764
-9,415288;-12,57407;-72,92874;-9,258265
-20,62734;-22,17381;-86,57823;-19,92188
-19,95166;-20,16773;-73,7856;-21,35411
-1,900692;-2,626432;-20;0
-1,069198;-3,999955;-20,7489;-2,859951
-2;-2;-20;0
-5,269017;-0,36;-20;-2
0;0;0;0
0;0;0;0
-10,24102;-15,52915;-93,40941;-100,0209
-9,526645;-4,56098;-83,22997;-67,42895
0;0;0;0
-1,684355;-2,489317;0;0
-23,69396;-20,26561;-96,16093;-89,26259
-16,46471;-15,96171;-67,232;-48,8
0;0;0;0
-4,739101;-2,260709;-21,30038;-20,5034
-25,55922;-25,9306;-67,232;-79,02848
0;0;0;0
0;0;0;0
0;0;0;0
-2;0;-20;0
0;0;0;0
0;0;0;0
0;0;0;0
-4,087239;-59,99848;-2,976236;-2,617394
-15,52884;-101,3623;-10,77409;-5,996727
-9,432591;-101,2558;-11,29801;-8,670096
-4,889545;-36;-7,254535;-3,358066
-5,490942;-48,8;-7,810846;-7,000598
